categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Cirugía,Extracción de cordal erupcionado,"Extracción de cordal completamente erupcionado sin complicaciones",280000,45,sí,"Por cordal; incluye anestesia y sutura si aplica"
Cirugía,Extracción de cordal semierupcionado,"Cordal parcialmente cubierto por encía o hueso",450000,75,sí,"Por cordal; cirugía menor con sutura"
Cirugía,Extracción de cordal incluido,"Cordal completamente incluido en hueso (cirugía mayor)",650000,90,sí,"Por cordal; requiere radiografía panorámica previa"
Cirugía,Extracción cuatro cordales en una sesión,"Cirugía de cuatro cordales en la misma cita",2200000,180,sí,"Recomendable sedación; ahorro frente a sesiones individuales"
Cirugía,Sedación oral consciente,"Premedicación con ansiolítico para procedimiento",350000,0,sí,"Adicional al procedimiento; requiere acompañante"
Cirugía,Sedación con anestesiólogo,"Sedación profunda con anestesiólogo para cirugías complejas",1800000,180,sí,"Honorarios de anestesiólogo; para cirugías mayores"
Cirugía,Frenectomía lingual o labial,"Cirugía de frenillo lingual o labial",480000,45,sí,"Mejora función del habla o estabilidad de prótesis"
Cirugía,Biopsia oral,"Toma de tejido para análisis histopatológico",480000,45,sí,"No incluye análisis patológico (laboratorio externo)"
Cirugía,Cirugía de exposición de canino incluido,"Procedimiento auxiliar a ortodoncia para canino retenido",780000,75,sí,"Coordinado con ortodoncista; incluye colocación de tracción"
Implantes,Tomografía 3D (CBCT),"Estudio tridimensional indispensable para planeación de implantes",350000,30,sí,"Vigencia 12 meses; permite planeación digital con guía quirúrgica"
Implantes,Implante dental unitario (estándar),"Implante de titanio + abutment + corona en zirconio",2800000,150,sí,"Precio por pieza; incluye cirugía, abutment y corona; protocolo en 4-6 meses"
Implantes,Implante dental unitario premium (zirconio),"Implante con corona en zirconio multicapa de alta estética",3500000,150,sí,"Para zona anterior estética"
Implantes,Implante carga inmediata,"Implante con corona provisional el mismo día",4200000,180,sí,"Sujeto a evaluación clínica; no aplica en todos los casos"
Implantes,Injerto óseo particulado,"Aumento óseo localizado para sitio implantar",1450000,60,sí,"Por zona; necesario en sitios con poco hueso"
Implantes,Elevación de seno maxilar (sinus lift),"Aumento de hueso en zona posterior maxilar",2800000,120,sí,"Para implantes en maxilar superior posterior con poco hueso"
Implantes,Implantes All-on-4 por arcada,"Rehabilitación total sobre 4 implantes por arcada",28000000,300,sí,"Incluye 4 implantes y prótesis fija; para pacientes desdentados o por desdentar"
Implantes,Prótesis fija sobre implantes por arcada,"Estructura fija atornillada sobre múltiples implantes",18500000,300,sí,"Precio adicional a implantes; estructura en metal cerámico o zirconio"
Implantes,Prótesis sobredentadura sobre 2 implantes,"Prótesis removible estabilizada con 2 implantes",8500000,180,sí,"Por arcada; incluye 2 implantes con sistema de retención"
