categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion_medica,notas
Consulta,Consulta médica estética inicial,"Valoración médica con anamnesis, examen y plan personalizado",80000,30,no,"Es el paso obligatorio previo a cualquier procedimiento; precio se descuenta del primer procedimiento"
Consulta,Consulta de control,"Seguimiento médico de tratamiento en curso",0,20,no,"Sin costo para pacientes con tratamiento activo"
Facial inyectables,Toxina botulínica - una zona,"Aplicación de toxina botulínica en frente, entrecejo o patas de gallo",650000,30,sí,"Una zona; producto con registro INVIMA; resultado pleno a los 7-14 días"
Facial inyectables,Toxina botulínica - tres zonas,"Aplicación en frente, entrecejo y patas de gallo",1100000,45,sí,"Combo de tres zonas; ahorra frente a aplicación individual"
Facial inyectables,Ácido hialurónico labios,"Aumento o hidratación de labios con AH reticulado",950000,45,sí,"Una jeringa de 1 ml; producto con registro INVIMA; resultado a las 2 semanas"
Facial inyectables,Ácido hialurónico surcos nasogenianos,"Relleno de surcos con AH de media densidad",1100000,45,sí,"Una jeringa; valoración previa obligatoria"
Facial inyectables,Ácido hialurónico ojeras,"Relleno de surco lagrimal con AH de baja densidad",1300000,60,sí,"Procedimiento delicado; requiere experiencia médica; resultado en 2-4 semanas"
Facial inyectables,Ácido hialurónico mentón o pómulos,"Definición de contorno facial con AH alta densidad",1200000,60,sí,"Una jeringa; rediseño según anatomía"
Facial inyectables,Bioestimulador de colágeno,"Inducción de colágeno con hidroxiapatita de calcio o ácido poliláctico",1450000,60,sí,"Resultado progresivo en 60-90 días; duración 12-24 meses"
Facial inyectables,Mesoterapia facial,"Microinyecciones con vitaminas y antioxidantes para luminosidad",250000,45,sí,"Sesión única; protocolo recomendado de 4-6 sesiones"
Facial inyectables,Plasma rico en plaquetas - PRP,"Aplicación de plasma autólogo para regeneración cutánea",450000,60,sí,"Se extrae sangre del paciente; protocolo de 3 sesiones cada 4 semanas"
Facial superficial,Limpieza facial profunda,"Limpieza con extracción manual y mascarilla",120000,60,no,"Recomendada cada 1-2 meses; ideal para pieles mixtas a grasas"
Facial superficial,Hidrafacial,"Limpieza con tecnología de hidrodermoabrasión y sueros activos",280000,50,no,"Aporta luminosidad inmediata; ideal antes de eventos"
Facial superficial,Peeling químico superficial,"Renovación con ácido glicólico, mandélico o salicílico",180000,40,sí,"Protocolo de 4-6 sesiones cada 2 semanas según diagnóstico"
Facial superficial,Peeling químico medio,"Renovación profunda con TCA o combinación",380000,60,sí,"Recuperación 5-7 días; protocolo individual"
Facial superficial,Dermapen / microagujas,"Inducción de colágeno con microagujas estériles",320000,60,sí,"Mejora textura, cicatrices de acné y poros; protocolo de 3-4 sesiones"
Facial superficial,Plasma + Dermapen,"Combinación de plasma y microagujas para potenciar resultado",550000,75,sí,"Mayor regeneración; protocolo recomendado de 3 sesiones"
