categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion_medica,notas
Depilación láser,Axilas - sesión,"Depilación láser diodo zona pequeña",80000,20,sí,"Protocolo 6-10 sesiones cada 4-6 semanas; paquetes con descuento"
Depilación láser,Bigote - sesión,"Depilación láser diodo labio superior",50000,15,sí,"Zona delicada; requiere parámetros suaves"
Depilación láser,Mentón - sesión,"Depilación láser diodo mentón",60000,15,sí,"Frecuente en mujeres con vello hormonal; evaluar causas hormonales"
Depilación láser,Línea alba abdominal - sesión,"Depilación láser diodo línea media abdominal",70000,20,sí,"Zona pequeña"
Depilación láser,Brazos completos - sesión,"Depilación láser diodo brazos completos",180000,45,sí,"Incluye hombros si paciente lo solicita"
Depilación láser,Piernas medias - sesión,"Depilación láser diodo media pierna (rodilla a tobillo o muslo a rodilla)",170000,40,sí,"Por mitad de pierna"
Depilación láser,Piernas completas - sesión,"Depilación láser diodo piernas completas",250000,75,sí,"Incluye ambas piernas completas"
Depilación láser,Bikini básico - sesión,"Depilación láser diodo bikini línea visible",90000,25,sí,"Línea visible; no incluye zona profunda"
Depilación láser,Bikini brasileño - sesión,"Depilación láser diodo bikini completo",130000,40,sí,"Incluye zona profunda; manejo con discreción y privacidad"
Depilación láser,Espalda completa - sesión,"Depilación láser diodo espalda completa",200000,60,sí,"Frecuente en hombres; ideal en protocolo de 8 sesiones"
Depilación láser,Pecho y abdomen - sesión,"Depilación láser diodo pecho y abdomen masculino",230000,60,sí,"Frecuente en hombres"
Depilación láser,Cuerpo completo masculino - sesión,"Depilación láser diodo cuerpo completo hombres",550000,150,sí,"Incluye torso, espalda, brazos, piernas"
Depilación láser,Cuerpo completo femenino - sesión,"Depilación láser diodo cuerpo completo mujeres",490000,135,sí,"Incluye axilas, piernas, bikini, brazos"
Depilación láser,Paquete 6 sesiones - cualquier zona,"Bono cerrado de 6 sesiones con 15% descuento sobre precio individual",,,"sí","Aplica para cualquier zona; vigencia 12 meses"
Láser facial,Láser fraccionado facial,"Resurfacing facial fraccionado para textura, cicatrices y manchas",950000,60,sí,"Recuperación de 5-10 días; protocolo según diagnóstico"
Láser facial,Láser para manchas,"Tratamiento puntual de léntigos y manchas solares con láser",350000,30,sí,"Sesión única o protocolo según mancha"
Láser facial,Láser vascular,"Tratamiento de telangiectasias y rosácea con láser vascular",420000,30,sí,"Por sesión; protocolo individual"
