categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Odontopediatría,Consulta de primera vez - niño,"Consulta de adaptación, examen y plan en niños",80000,40,no,"Recomendada desde el primer año de vida; incluye consejería a padres"
Odontopediatría,Consulta de control - niño,"Revisión semestral en niños con tratamiento o prevención",60000,30,no,"Recomendada cada 6 meses"
Odontopediatría,Profilaxis dental - niño,"Limpieza dental adaptada para niños",90000,30,no,"Incluye aplicación de flúor; técnica amable"
Odontopediatría,Aplicación de flúor - niño,"Flúor tópico de alta concentración",50000,15,no,"Cada 6 meses en niños con riesgo de caries"
Odontopediatría,Sellante por pieza - niño,"Sellante preventivo en molares permanentes recién erupcionados",60000,15,no,"Por molar; preventivo de caries en surcos"
Odontopediatría,Resina en diente temporal,"Restauración en diente de leche",180000,45,no,"Por diente; ajustada al tamaño del diente temporal"
Odontopediatría,Pulpotomía en diente temporal,"Tratamiento endodóntico parcial en diente de leche",380000,60,sí,"Para caries profundas con afección pulpar parcial"
Odontopediatría,Pulpectomía en diente temporal,"Tratamiento endodóntico completo en diente de leche",450000,75,sí,"Para infecciones pulpares; mantiene el diente hasta el cambio"
Odontopediatría,Corona pediátrica de acero,"Corona prefabricada para diente temporal con destrucción extensa",450000,60,sí,"Mantiene la función hasta el cambio dental"
Odontopediatría,Corona pediátrica blanca (zirconio o resina),"Corona estética para diente temporal anterior",680000,60,sí,"Estética para dientes anteriores temporales"
Odontopediatría,Extracción dental temporal,"Extracción de diente de leche",120000,30,no,"Incluye anestesia local; manejo amable"
Odontopediatría,Mantenedor de espacio,"Aparato para mantener el espacio tras pérdida temprana de diente temporal",480000,60,sí,"Previene apiñamiento futuro; fijo o removible según edad"
Odontopediatría,Tratamiento con óxido nitroso,"Sedación inhalatoria con óxido nitroso para niños ansiosos",250000,0,sí,"Adicional al procedimiento; permite tratamientos en niños con ansiedad"
Odontopediatría,Educación e higiene oral - niños y padres,"Sesión educativa con técnica de cepillado y consejería",60000,30,no,"Adaptada a la edad del niño"
