categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Estética,Blanqueamiento en consultorio - 1 sesión,"Blanqueamiento profesional con gel y activación por luz LED",650000,90,sí,"Incluye protector gingival; resultado inmediato; recomendada profilaxis 1 semana antes"
Estética,Blanqueamiento casero con cubetas personalizadas,"Cubetas a medida con gel para uso domiciliario 2 semanas",450000,30,sí,"Resultado gradual en 10-14 días; incluye revisión final"
Estética,Blanqueamiento combinado (consultorio + casero),"Sesión en consultorio más kit casero para mantenimiento",850000,120,sí,"Mayor efectividad y duración del resultado"
Estética,Blanqueamiento interno (dientes oscurecidos),"Para dientes oscurecidos por endodoncia previa",550000,60,sí,"En dientes endodonciados; puede requerir 1-3 sesiones"
Estética,Carilla en resina (chairside),"Carilla directa en resina hecha en una cita",450000,90,sí,"Por diente; sin laboratorio; resultado inmediato"
Estética,Carilla en cerámica feldespática,"Carilla de cerámica fabricada en laboratorio",1300000,120,sí,"Por diente; requiere 2 citas (impresión y cementación); incluye laboratorio"
Estética,Carilla en cerámica disilicato de litio (e.max),"Carilla premium en disilicato de litio de alta translucidez",1650000,120,sí,"Por diente; máxima estética y resistencia"
Estética,Diseño de sonrisa digital (DSD),"Planeación digital de la sonrisa con previsualización 3D",480000,90,sí,"Incluye fotos, escaneo, mock-up y plan estético; valor independiente del tratamiento"
Estética,Mock-up estético,"Prueba reversible de la sonrisa diseñada antes del tratamiento definitivo",380000,45,sí,"Incluido en diseño de sonrisa completo"
Estética,Diseño de sonrisa - 6 carillas resina,"Tratamiento estético anterosuperior con 6 carillas en resina",2400000,300,sí,"Precio combo; incluye DSD; resultados inmediatos"
Estética,Diseño de sonrisa - 8 carillas cerámica,"Tratamiento estético con 8 carillas cerámicas",9200000,480,sí,"Incluye DSD, laboratorio, cementación; tratamiento de alta gama"
Estética,Diseño de sonrisa - 10 carillas cerámica,"Tratamiento estético completo con 10 carillas cerámicas",11400000,540,sí,"Incluye DSD, laboratorio, cementación, ajustes"
Estética,Recontorneado estético,"Pulido y forma de dientes anteriores sin material adicional",180000,30,sí,"Procedimiento conservador para correcciones menores"
