categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_diagnostico,notas
Peluquería,Corte de cabello dama,"Incluye asesoría rápida, lavado básico y secado natural",45000,45,no,"Precio referencial; puede variar según largo y densidad"
Peluquería,Cepillado / blower,"Desde cabello corto; cabellos largos pueden tener recargo",35000,40,no,"Recargo sugerido para cabello largo: desde 10000 COP"
Peluquería,Tinte raíz,"Aplicación de color en crecimiento de hasta 3 cm",95000,90,sí,"No incluye decoloración ni corrección de color"
Peluquería,Hidratación capilar,"Tratamiento nutritivo básico con mascarilla profesional",65000,50,no,"Recomendado después de color o calor frecuente"
Peluquería,Color completo,"Aplicación de tinte en todo el cabello",160000,120,sí,"Valor base; confirmar según largo, densidad y producto requerido"
Manicuria,Manicure tradicional,"Limpieza, limado, cutícula y esmaltado tradicional",28000,35,no,"El esmalte tradicional puede variar por disponibilidad de color"
Manicuria,Manicure semipermanente,"Preparación de uña, base, color semipermanente y brillo",48000,55,no,"Incluye un color; diseños tienen costo adicional"
Manicuria,Retiro de semipermanente,"Retiro seguro de esmalte semipermanente",18000,25,no,"Gratis si se realiza nuevo semipermanente el mismo día"
Manicuria,Press-on / uñas postizas,"Set estándar instalado; diseños personalizados desde cotización",70000,70,sí,"El precio final depende del diseño y materiales"
Manicuria,Nail art sencillo,"Diseño simple en hasta dos uñas por mano",22000,25,no,"Diseños avanzados requieren cotización"
Pedicura,Pedicure tradicional,"Limpieza, limado, cuidado básico de cutícula y esmaltado",38000,45,no,"No incluye procedimientos podológicos"
Pedicura,Pedicure semipermanente,"Pedicure con esmaltado semipermanente",58000,60,no,"Incluye un color; diseños tienen costo adicional"
Paquetes,Combo manicure + pedicure tradicional,"Manicure y pedicure tradicional en una sola cita",62000,85,no,"Promoción simulada sujeta a agenda y disponibilidad"
Paquetes,Combo manicure + pedicure semipermanente,"Manicure y pedicure con esmaltado semipermanente",88000,110,no,"Promoción simulada sujeta a agenda y disponibilidad"
Paquetes,Paquete belleza express,"Cepillado, manicure tradicional y pedicure tradicional",95000,120,no,"Ideal para eventos; reservar con anticipación"
