categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Consulta,Consulta de valoración odontológica,"Examen oral, diagnóstico, plan de tratamiento y presupuesto",50000,30,no,"Se descuenta del primer procedimiento si decides continuar"
Consulta,Consulta de urgencia,"Atención de dolor, trauma, absceso u otra urgencia",80000,30,no,"Sin cita previa para urgencias; precio incluye anestesia y diagnóstico"
Consulta,Consulta de control,"Seguimiento de tratamiento en curso",0,20,no,"Sin costo para tratamientos en curso"
Preventiva,Profilaxis dental con ultrasonido,"Limpieza profesional con remoción de placa y cálculo supragingival",120000,45,no,"Recomendado cada 6 meses; incluye pulido y aplicación de flúor"
Preventiva,Detartraje supragingival,"Remoción de cálculo más extenso con ultrasonido",180000,60,no,"Para casos con acumulación moderada de cálculo"
Preventiva,Aplicación de flúor tópico,"Aplicación de flúor de alta concentración",60000,15,no,"Recomendado en niños y adultos con alto riesgo de caries"
Preventiva,Sellante de fosetas y fisuras (por pieza),"Sellado preventivo en molares para prevenir caries",80000,15,no,"Recomendado en niños y adolescentes en molares permanentes recién erupcionados"
Restaurativa,Resina dental posterior pequeña,"Restauración con resina compuesta en molar o premolar (1 superficie)",150000,45,no,"Precio referencial; depende de tamaño y posición"
Restaurativa,Resina dental posterior mediana o grande,"Restauración con resina compuesta (2-3 superficies)",220000,60,no,"Incluye anestesia local"
Restaurativa,Resina anterior estética,"Restauración estética en diente anterior con técnica de capas",280000,60,no,"Incluye selección de color y pulido fino"
Restaurativa,Reconstrucción dental con perno,"Reconstrucción de diente endodonciado con perno y resina",420000,75,sí,"Para dientes con destrucción extensa post-endodoncia"
Restaurativa,Reemplazo de obturación de amalgama,"Retiro de amalgama antigua y restauración con resina",250000,60,no,"Incluye anestesia"
Cirugía simple,Extracción dental simple,"Extracción de diente con erupción completa sin complicaciones",180000,45,no,"Incluye anestesia local; precio por diente"
Cirugía simple,Extracción dental con cirugía menor,"Extracción que requiere odontosección o pequeña osteotomía",280000,60,no,"Incluye anestesia y sutura si aplica"
Cirugía simple,Extracción de raíces residuales,"Remoción quirúrgica de fragmentos radiculares",250000,60,no,"Requiere radiografía periapical previa"
