categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_diagnostico,notas
Peluquería,Corte de cabello dama,"Incluye asesoría rápida, lavado básico y secado natural",45000,45,no,"Precio referencial; puede variar según largo y densidad"
Peluquería,Corte de cabello caballero,"Corte clásico o degradado con acabado",30000,30,no,"Incluye lavado"
Peluquería,Corte de niña,"Para menores de 12 años; incluye lavado y secado",35000,40,no,"Precio fijo independiente del largo"
Peluquería,Cepillado / blower,"Lavado y secado con cepillo para volumen y brillo",35000,40,no,"Recargo para cabello largo o muy grueso: desde $10.000 COP"
Peluquería,Tinte raíz,"Aplicación de color en crecimiento de hasta 3 cm",95000,90,sí,"No incluye decoloración ni corrección de color; se requiere diagnóstico previo"
Peluquería,Color completo,"Aplicación de tinte en todo el cabello",160000,120,sí,"Valor base; precio final según largo, densidad y producto requerido"
Peluquería,Mechas o balayage,"Aclarado parcial o efecto degradado en tonos naturales",180000,150,sí,"Incluye diagnóstico; precio varía según porcentaje de cabello a aclarar"
Peluquería,Hidratación capilar,"Tratamiento nutritivo con mascarilla profesional y sellado",65000,50,no,"Recomendado después de procesos con color o calor frecuente"
Peluquería,Keratina / alisado,"Tratamiento de alisado semipermanente de 3 a 5 meses",280000,180,sí,"Requiere diagnóstico; no aplica en cabello con decoloración reciente"
Peluquería,Ondas con tenaza,"Modelado de rizos o waves con tenaza profesional",50000,45,no,"Precio base; puede variar según largo y volumen"
