categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Prótesis fija,Corona metal-cerámica,"Corona con base metálica y recubrimiento cerámico",1450000,150,sí,"Por diente; resistente y económica; incluye 2 citas (preparación y cementación)"
Prótesis fija,Corona libre de metal (zirconio),"Corona en zirconio monolítico o estratificado",2200000,150,sí,"Por diente; alta estética y biocompatibilidad"
Prótesis fija,Corona en disilicato de litio (e.max),"Corona en cerámica disilicato de litio",2400000,150,sí,"Máxima estética en zona anterior"
Prótesis fija,Puente metal-cerámica - 3 unidades,"Puente fijo de 3 piezas (2 pilares y 1 póntico)",4200000,180,sí,"Por puente de 3 unidades; reemplaza diente perdido"
Prótesis fija,Puente zirconio - 3 unidades,"Puente fijo en zirconio de alta estética",6200000,180,sí,"Puente premium libre de metal"
Prótesis fija,Núcleo metálico colado o perno-muñón,"Núcleo intrarradicular para soporte de corona",450000,60,sí,"En dientes con destrucción severa post-endodoncia"
Prótesis removible,Prótesis parcial removible acrílica,"Aparato removible con base acrílica y ganchos metálicos",1450000,180,sí,"Por arcada; reemplazo de varios dientes"
Prótesis removible,Prótesis parcial removible esquelética (metal),"Prótesis con estructura metálica resistente",2400000,180,sí,"Por arcada; mayor estabilidad y durabilidad"
Prótesis removible,Prótesis flexible (Valplast),"Prótesis con base flexible sin metal visible",2200000,180,sí,"Por arcada; alta estética; comodidad"
Prótesis removible,Prótesis total removible,"Prótesis completa para arcada totalmente desdentada",2800000,300,sí,"Por arcada; varias citas para ajuste"
Prótesis removible,Ajuste de prótesis,"Rebasado, reposición de dientes o ajuste de retención",250000,45,no,"Por prótesis; mantenimiento de prótesis existente"
Rehabilitación,Plan de rehabilitación oral integral,"Planificación de tratamientos múltiples combinados",480000,90,sí,"Estudio diagnóstico para casos complejos; se descuenta del tratamiento"
Rehabilitación,Férula de descarga oclusal,"Aparato nocturno para protección de bruxismo",680000,90,sí,"Para pacientes con apretamiento o bruxismo nocturno"
Rehabilitación,Férula deportiva,"Protector bucal personalizado para deportes",380000,60,no,"Para deportes de contacto; protege dientes y tejidos"
