categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion,notas
Ortodoncia,Consulta de valoración ortodóncica,"Análisis facial, oclusal y plan de tratamiento ortodóncico",80000,45,no,"Se descuenta del valor del tratamiento si decides continuar"
Ortodoncia,Estudios iniciales completos,"Radiografía panorámica, lateral, fotos clínicas, modelos o escaneo 3D",380000,60,sí,"Indispensable antes de iniciar; vigencia 6 meses"
Ortodoncia,Brackets metálicos - tratamiento completo,"Instalación, controles mensuales y retiro al final del tratamiento",4000000,720,sí,"Tratamiento promedio 18-24 meses; incluye retenedores finales"
Ortodoncia,Brackets estéticos cerámicos - tratamiento completo,"Brackets cerámicos transparentes; tratamiento completo",5200000,720,sí,"Estética en arcada superior o ambas"
Ortodoncia,Brackets autoligado - tratamiento completo,"Sistema de autoligado con tratamientos más cortos",6200000,540,sí,"Reduce frecuencia de citas; tratamiento promedio 15-18 meses"
Ortodoncia,Alineadores transparentes - caso simple,"Tratamiento con alineadores tipo Invisalign para casos leves",7500000,360,sí,"Casos leves; tratamiento 6-12 meses"
Ortodoncia,Alineadores transparentes - caso moderado,"Casos moderados de apiñamiento o mordida abierta",10500000,540,sí,"Tratamiento 12-18 meses"
Ortodoncia,Alineadores transparentes - caso complejo,"Casos complejos que combinan apiñamiento, mordida y movimientos extensos",14000000,720,sí,"Tratamiento 18-24 meses; puede requerir refinamientos"
Ortodoncia,Control ortodoncia mensual,"Visita mensual incluida en plan de tratamiento",0,30,no,"Incluido en plan; si paciente está fuera de plan: $80.000 por control"
Ortodoncia,Cambio de brackets (caída),"Reemplazo de bracket caído",80000,20,no,"Primer evento sin costo en plan estándar; siguientes con costo"
Ortodoncia,Retenedores fijos por arcada,"Alambre cementado en cara interna de dientes anteriores",250000,30,sí,"Para mantener resultado tras ortodoncia"
Ortodoncia,Retenedores removibles (placa de Hawley o transparente),"Aparato removible para mantener resultado",350000,30,sí,"Indispensable tras ortodoncia para evitar recidiva"
Ortopedia,Placa removible ortopédica - tratamiento,"Tratamiento ortopédico maxilar en niños",2200000,540,sí,"Edad ideal 6-10 años; corrige crecimiento maxilar"
Ortopedia,Expansor palatino,"Aparato fijo para expansión de paladar",1800000,180,sí,"Para casos de mordida cruzada o falta de espacio"
