categoria,procedimiento,descripcion,precio_cop,duracion_minutos,requiere_valoracion_medica,notas
Corporal,Criolipólisis - zona,"Reducción de adiposidad localizada por congelamiento controlado",650000,75,sí,"Una zona (abdomen alto, abdomen bajo, flancos, espalda, brazos o muslos); resultado a 60-90 días"
Corporal,Criolipólisis - dos zonas,"Dos zonas tratadas en una misma sesión",1150000,150,sí,"Ahorro frente a sesiones individuales"
Corporal,Criolipólisis - tres zonas,"Tres zonas tratadas en una misma sesión",1500000,180,sí,"Paquete de máxima eficiencia clínica por sesión"
Corporal,Radiofrecuencia corporal,"Reafirmación cutánea con calor controlado para abdomen, brazos, muslos",180000,50,sí,"Por zona y sesión; protocolo recomendado 6-10 sesiones semanales"
Corporal,Cavitación ultrasónica,"Movilización de adiposidad con ultrasonido de baja frecuencia",160000,45,sí,"Por zona y sesión; se combina con drenaje para potenciar resultado"
Corporal,Carboxiterapia,"Inyección controlada de CO2 medicinal para mejorar microcirculación y celulitis",200000,40,sí,"Por sesión; protocolo de 10 sesiones semanales"
Corporal,Mesoterapia corporal,"Microinyecciones con activos lipolíticos para adiposidad y celulitis",230000,50,sí,"Por sesión; protocolo de 6-10 sesiones"
Corporal,HIFU facial,"Lifting no quirúrgico con ultrasonido focalizado para tensar piel facial",1800000,90,sí,"Resultado progresivo en 60-90 días; duración 12-18 meses"
Corporal,HIFU corporal,"Tensado de piel y reducción de adiposidad en zonas corporales",1200000,90,sí,"Por zona; resultados progresivos"
Corporal,Drenaje linfático manual,"Masaje de drenaje linfático para edemas y post-procedimientos",120000,60,no,"Sesión única; recomendado en paquetes para potenciar criolipólisis"
